success2021/01/28 12:03:24 main.go:15: --------开始同步： 2021-01-28 12:03:24.293 +0800 CST m=+0.054000001 -------------
success2021/01/28 12:03:24 main.go:25: 更新信息： 喀喇沁 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 宁城 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 舍伯吐 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 小二沟 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 海力素 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 杭锦后旗 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 巴林右旗 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 克什克腾 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 鄂温克旗 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 和林 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 清水河 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 岗子 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 阿左旗 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 扎兰屯 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 苏右旗 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 通辽 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 商都 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 正蓝旗 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 乌中旗 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 阿鲁旗 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 突泉 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 扎鲁特 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 集宁 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 科右中旗 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 伊金霍洛 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 鄂前旗 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 乌前旗 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 林西 1 : 1 : 0
success2021/01/28 12:03:24 main.go:25: 更新信息： 化德 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 兴和 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 伊克乌素 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 乌后旗 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 卓资 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 孪井滩 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 满洲里 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 雅布赖 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 乌斯泰 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 多伦 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 敖汉 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 察右中旗 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 拐子湖 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 额尔古纳 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 托县 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 临河 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 凉城 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 鄂伦春旗 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 新左旗 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 科左后旗 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 青龙山 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 乌海 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 察右前旗 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 阿尔山 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 索伦 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 乌审旗 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 苏左旗 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 磴口 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 八里罕 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 满都拉 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 河南 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 东胜 1 : 1 : 0
success2021/01/28 12:03:25 main.go:25: 更新信息： 正镶白旗 1 : 1 : 0
success2021/01/28 12:03:26 main.go:25: 更新信息： 四子王旗 1 : 1 : 0
success2021/01/28 12:03:26 main.go:25: 更新信息： 包头 1 : 1 : 0
success2021/01/28 12:03:26 main.go:25: 更新信息： 牙克石 1 : 1 : 0
success2021/01/28 12:03:26 main.go:25: 更新信息： 准格尔 1 : 1 : 0
success2021/01/28 12:03:26 main.go:25: 更新信息： 呼市郊区 1 : 1 : 0
success2021/01/28 12:03:26 main.go:25: 更新信息： 科左中旗 1 : 1 : 0
success2021/01/28 12:03:26 main.go:25: 更新信息： 土右旗 1 : 1 : 0
success2021/01/28 12:03:26 main.go:25: 更新信息： 莫力达瓦 1 : 1 : 0
success2021/01/28 12:03:26 main.go:25: 更新信息： 根河 1 : 1 : 0
success2021/01/28 12:03:26 main.go:25: 更新信息： 呼和浩特 1 : 1 : 0
success2021/01/28 12:03:26 main.go:25: 更新信息： 武川 1 : 1 : 0
success2021/01/28 12:03:26 main.go:25: 更新信息： 大佘太 1 : 1 : 0
success2021/01/28 12:03:26 main.go:25: 更新信息： 赤峰 1 : 1 : 0
success2021/01/28 12:03:26 main.go:25: 更新信息： 额济纳 1 : 1 : 0
success2021/01/28 12:03:26 main.go:25: 更新信息： 科右前旗 1 : 1 : 0
success2021/01/28 12:03:26 main.go:25: 更新信息： 固阳 1 : 1 : 0
success2021/01/28 12:03:26 main.go:25: 更新信息： 新右旗 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 阿右旗 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 锡林浩特 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 二连浩特 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 博克图 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 白云鄂博 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 阿巴嘎 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 丰镇 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 乌拉盖 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 奈曼 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 诺尔公 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 陈旗 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 五原 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 巴雅尔吐胡硕 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 胡尔勒 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 东乌旗 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 察右后旗 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 鄂托克 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 杭锦旗 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 乌兰浩特 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 鄂尔多斯 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 土左旗 1 : 1 : 0
success2021/01/28 12:03:27 main.go:25: 更新信息： 扎赉特 1 : 1 : 0
success2021/01/28 12:03:28 main.go:25: 更新信息： 乌审召 1 : 1 : 0
success2021/01/28 12:03:28 main.go:25: 更新信息： 那仁宝力格 1 : 1 : 0
success2021/01/28 12:03:28 main.go:25: 更新信息： 开鲁 1 : 1 : 0
success2021/01/28 12:03:28 main.go:25: 更新信息： 库伦 1 : 1 : 0
success2021/01/28 12:03:28 main.go:25: 更新信息： 高力板 1 : 1 : 0
success2021/01/28 12:03:28 main.go:25: 更新信息： 巴林左旗 1 : 1 : 0
success2021/01/28 12:03:28 main.go:25: 更新信息： 达茂旗 1 : 1 : 0
success2021/01/28 12:03:28 main.go:25: 更新信息： 希拉穆仁 1 : 1 : 0
success2021/01/28 12:03:28 main.go:25: 更新信息： 吉兰太 1 : 1 : 0
success2021/01/28 12:03:28 main.go:25: 更新信息： 朱日和 1 : 1 : 0
success2021/01/28 12:03:29 main.go:25: 更新信息： 西乌旗 1 : 1 : 0
success2021/01/28 12:03:29 main.go:25: 更新信息： 太仆寺 1 : 1 : 0
success2021/01/28 12:03:29 main.go:25: 更新信息： 镶黄旗 1 : 1 : 0
success2021/01/28 12:03:29 main.go:25: 更新信息： 海拉尔 1 : 1 : 0
success2021/01/28 12:03:29 main.go:25: 更新信息： 阿荣旗 1 : 1 : 0
success2021/01/28 12:03:29 main.go:25: 更新信息： 图里河 1 : 1 : 0
success2021/01/28 12:03:29 main.go:28: ==============结束同步： 2021-01-28 12:03:29.239 +0800 CST m=+5.000000001 ===================
